Date Time, Water Level, Sigma, O, F, R, L, Quality 
2017-01-01 10:48,0.536,0.130,0,0,0,0,v
2017-01-01 10:54,0.581,0.125,0,0,0,0,v
2017-01-01 11:00,0.614,0.143,0,0,0,0,v
2017-01-01 11:06,0.619,0.127,0,0,0,0,v
2017-01-01 11:12,0.700,0.140,0,0,0,0,v
2017-01-01 11:18,0.722,0.147,0,0,0,0,v
2017-01-01 11:24,0.756,0.125,0,0,0,0,v
2017-01-01 11:30,0.793,0.125,0,0,0,0,v
2017-01-01 11:36,0.810,0.109,0,0,0,0,v
2017-01-01 11:42,0.871,0.129,0,0,0,0,v
2017-01-01 11:48,0.895,0.129,0,0,0,0,v
2017-01-01 11:54,0.925,0.121,0,0,0,0,v
2017-01-01 12:00,0.939,0.158,0,0,0,0,v
2017-01-01 12:06,0.987,0.124,0,0,0,0,v
2017-01-01 12:12,1.006,0.147,0,0,0,0,v
2017-01-01 12:18,1.016,0.122,0,0,0,0,v
2017-01-01 12:24,1.047,0.123,0,0,0,0,v
2017-01-01 12:30,1.049,0.108,0,0,0,0,v
2017-01-01 12:36,1.121,0.149,0,0,0,0,v
2017-01-01 12:42,1.119,0.137,0,0,0,0,v
2017-01-01 12:48,1.131,0.107,0,0,0,0,v
2017-01-01 12:54,1.151,0.099,0,0,0,0,v
2017-01-01 13:00,1.168,0.131,0,0,0,0,v
2017-01-01 13:06,1.189,0.124,0,0,0,0,v
2017-01-01 13:12,1.198,0.121,0,0,0,0,v
2017-01-01 13:18,1.244,0.110,0,0,0,0,v
2017-01-01 13:24,1.249,0.128,0,0,0,0,v
2017-01-01 13:30,1.303,0.115,0,0,0,0,v
2017-01-01 13:36,1.331,0.127,0,0,0,0,v
2017-01-01 13:42,1.345,0.117,0,0,0,0,v
2017-01-01 13:48,1.317,0.102,0,0,0,0,v
2017-01-01 13:54,1.292,0.127,0,0,0,0,v
2017-01-01 14:00,1.341,0.130,0,0,0,0,v
2017-01-01 14:06,1.352,0.127,0,0,0,0,v
2017-01-01 14:12,1.335,0.126,0,0,0,0,v
2017-01-01 14:18,1.343,0.091,0,0,0,0,v
2017-01-01 14:24,1.327,0.123,0,0,0,0,v
2017-01-01 14:30,1.327,0.125,0,0,0,0,v
2017-01-01 14:36,1.308,0.104,0,0,0,0,v
2017-01-01 14:42,1.291,0.110,0,0,0,0,v
2017-01-01 14:48,1.312,0.090,0,0,0,0,v
2017-01-01 14:54,1.290,0.121,0,0,0,0,v
2017-01-01 15:00,1.273,0.122,0,0,0,0,v
2017-01-01 15:06,1.234,0.108,0,0,0,0,v
2017-01-01 15:12,1.190,0.121,0,0,0,0,v
2017-01-01 15:18,1.173,0.103,0,0,0,0,v
2017-01-01 15:24,1.197,0.108,0,0,0,0,v
2017-01-01 15:30,1.186,0.102,0,0,0,0,v
2017-01-01 15:36,1.161,0.103,0,0,0,0,v
2017-01-01 15:42,1.164,0.110,0,0,0,0,v
2017-01-01 15:48,1.115,0.104,0,0,0,0,v
2017-01-01 15:54,1.096,0.101,0,0,0,0,v
2017-01-01 16:00,1.063,0.104,0,0,0,0,v
2017-01-01 16:06,1.057,0.105,0,0,0,0,v
2017-01-01 16:12,1.000,0.110,0,0,0,0,v
2017-01-01 16:18,0.963,0.099,0,0,0,0,v
2017-01-01 16:24,0.972,0.108,0,0,0,0,v
2017-01-01 16:30,0.933,0.083,0,0,0,0,v
2017-01-01 16:36,0.896,0.085,0,0,0,0,v
2017-01-01 16:42,0.871,0.099,0,0,0,0,v
2017-01-01 16:48,0.869,0.104,0,0,0,0,v
2017-01-01 16:54,0.849,0.092,0,0,0,0,v
2017-01-01 17:00,0.800,0.093,0,0,0,0,v
2017-01-01 17:06,0.768,0.091,0,0,0,0,v
2017-01-01 17:12,0.703,0.087,0,0,0,0,v
2017-01-01 17:18,0.670,0.092,0,0,0,0,v
2017-01-01 17:24,0.623,0.084,0,0,0,0,v
2017-01-01 17:30,0.579,0.106,0,0,0,0,v
2017-01-01 17:36,0.578,0.081,0,0,0,0,v
2017-01-01 17:42,0.534,0.098,0,0,0,0,v
2017-01-01 17:48,0.480,0.097,0,0,0,0,v
2017-01-01 17:54,0.441,0.085,0,0,0,0,v
2017-01-01 18:00,0.399,0.109,0,0,0,0,v
2017-01-01 18:06,0.369,0.094,0,0,0,0,v
2017-01-01 18:12,0.344,0.094,0,0,0,0,v
2017-01-01 18:18,0.332,0.090,0,0,0,0,v
2017-01-01 18:24,0.295,0.083,0,0,0,0,v
2017-01-01 18:30,0.281,0.102,0,0,0,0,v
2017-01-01 18:36,0.245,0.079,0,0,0,0,v
2017-01-01 18:42,0.229,0.084,0,0,0,0,v
2017-01-01 18:48,0.188,0.084,0,0,0,0,v
2017-01-01 18:54,0.182,0.087,0,0,0,0,v
2017-01-01 19:00,0.135,0.074,0,0,0,0,v
2017-01-01 19:06,0.140,0.095,0,0,0,0,v
2017-01-01 19:12,0.082,0.088,0,0,0,0,v
2017-01-01 19:18,0.078,0.082,0,0,0,0,v
2017-01-01 19:24,0.076,0.084,0,0,0,0,v
2017-01-01 19:30,0.054,0.094,0,0,0,0,v
2017-01-01 19:36,0.040,0.089,0,0,0,0,v
2017-01-01 19:42,0.060,0.069,0,0,0,0,v
2017-01-01 19:48,0.027,0.081,0,0,0,0,v
2017-01-01 19:54,0.017,0.073,0,0,0,0,v
2017-01-01 20:00,-0.015,0.080,0,0,0,0,v
2017-01-01 20:06,-0.015,0.078,0,0,0,0,v
2017-01-01 20:12,-0.021,0.073,0,0,0,0,v
2017-01-01 20:18,-0.044,0.087,0,0,0,0,v
2017-01-01 20:24,-0.046,0.078,0,0,0,0,v
2017-01-01 20:30,-0.073,0.076,0,0,0,0,v
2017-01-01 20:36,-0.056,0.081,0,0,0,0,v
2017-01-01 20:42,-0.065,0.073,0,0,0,0,v
2017-01-01 20:48,-0.041,0.075,0,0,0,0,v
2017-01-01 20:54,-0.007,0.084,0,0,0,0,v
2017-01-01 21:00,0.018,0.070,0,0,0,0,v
2017-01-01 21:06,0.018,0.084,0,0,0,0,v
2017-01-01 21:12,0.021,0.078,0,0,0,0,v
2017-01-01 21:18,0.011,0.076,0,0,0,0,v
2017-01-01 21:24,0.019,0.076,0,0,0,0,v
2017-01-01 21:30,0.018,0.087,0,0,0,0,v
2017-01-01 21:36,0.020,0.097,0,0,0,0,v
2017-01-01 21:42,0.023,0.072,0,0,0,0,v
2017-01-01 21:48,0.062,0.082,0,0,0,0,v
2017-01-01 21:54,0.068,0.090,0,0,0,0,v
2017-01-01 22:00,0.082,0.090,0,0,0,0,v
2017-01-01 22:06,0.086,0.089,0,0,0,0,v
2017-01-01 22:12,0.102,0.086,0,0,0,0,v
2017-01-01 22:18,0.140,0.072,0,0,0,0,v
2017-01-01 22:24,0.177,0.090,0,0,0,0,v
2017-01-01 22:30,0.197,0.079,0,0,0,0,v
2017-01-01 22:36,0.235,0.083,0,0,0,0,v
2017-01-01 22:42,0.251,0.078,0,0,0,0,v
2017-01-01 22:48,0.287,0.077,0,0,0,0,v
2017-01-01 22:54,0.316,0.069,0,0,0,0,v
2017-01-01 23:00,0.334,0.084,0,0,0,0,v
2017-01-01 23:06,0.365,0.084,0,0,0,0,v
2017-01-01 23:12,0.374,0.097,0,0,0,0,v
2017-01-01 23:18,0.428,0.088,0,0,0,0,v
2017-01-01 23:24,0.449,0.087,0,0,0,0,v
2017-01-01 23:30,0.481,0.087,0,0,0,0,v
2017-01-01 23:36,0.504,0.098,0,0,0,0,v
2017-01-01 23:42,0.562,0.106,0,0,0,0,v
2017-01-01 23:48,0.590,0.085,0,0,0,0,v
2017-01-01 23:54,0.583,0.080,0,0,0,0,v
2017-01-02 00:00,0.616,0.076,0,0,0,0,v
2017-01-02 00:06,0.660,0.097,0,0,0,0,v
2017-01-02 00:12,0.713,0.093,0,0,0,0,v
2017-01-02 00:18,0.720,0.095,0,0,0,0,v
2017-01-02 00:24,0.735,0.114,0,0,0,0,v
2017-01-02 00:30,0.743,0.087,0,0,0,0,v
2017-01-02 00:36,0.757,0.088,0,0,0,0,v
2017-01-02 00:42,0.768,0.103,0,0,0,0,v
2017-01-02 00:48,0.818,0.094,0,0,0,0,v
