 Fecha,CAPE,Agua Precipitable
 01 Jan 2016,0.00,3.18
 02 Jan 2016,0.00,6.78
 03 Jan 2016,0.00,5.02
 04 Jan 2016,0.00,5.37
 05 Jan 2016,0.00,9.55
 06 Jan 2016,0.00,9.31
 07 Jan 2016,84.20,7.32
 08 Jan 2016,7.81,8.46
 09 Jan 2016,0.00,7.09
 10 Jan 2016,0.00,4.94
 11 Jan 2016,0.00,5.81
 12 Jan 2016,0.00,3.96
 13 Jan 2016,0.00,2.76
 14 Jan 2016,0.00,2.69
 15 Jan 2016,0.00,4.00
 16 Jan 2016,0.00,8.11
 17 Jan 2016,0.00,6.17
 18 Jan 2016,0.00,5.07
 19 Jan 2016,0.00,6.22
 20 Jan 2016,0.00,5.43
 21 Jan 2016,0.00,3.87
 22 Jan 2016,0.00,2.84
 23 Jan 2016,0.00,5.87
 24 Jan 2016,0.00,3.45
 25 Jan 2016,0.00,5.13
 26 Jan 2016,0.00,4.01
 27 Jan 2016,0.00,4.81
 28 Jan 2016,0.00,5.95
 29 Jan 2016,0.00,6.25
 30 Jan 2016,0.00,6.43
 31 Jan 2016,0.00,9.08
 01 Feb 2016,40.22,6.65
 02 Feb 2016,5.76,4.23
 03 Feb 2016,5.98,3.74
 04 Feb 2016,0.00,2.23
 05 Feb 2016,0.00,3.58
 06 Feb 2016,0.00,2.61
 07 Feb 2016,0.00,3.84
 08 Feb 2016,0.00,4.89
 09 Feb 2016,0.00,5.06
 10 Feb 2016,0.00,4.66
 11 Feb 2016,0.00,3.85
 12 Feb 2016,0.00,3.75
 13 Feb 2016,0.00,4.96
 14 Feb 2016,0.00,5.89
 15 Feb 2016,0.00,4.40
 16 Feb 2016,0.00,7.83
 17 Feb 2016,0.00,5.65
 18 Feb 2016,0.00,5.97
 19 Feb 2016,0.00,10.78
 20 Feb 2016,0.00,12.11
 21 Feb 2016,0.00,6.36
 22 Feb 2016,0.00,7.46
 23 Feb 2016,50.08,6.33
 24 Feb 2016,1.91,7.27
 25 Feb 2016,0.00,4.25
 26 Feb 2016,0.00,4.11
 27 Feb 2016,0.00,4.66
 28 Feb 2016,0.00,6.99
 01 Mar 2016,0.00,6.54
 02 Mar 2016,0.00,10.31
 03 Mar 2016,0.00,6.55
 04 Mar 2016,0.00,4.26
 05 Mar 2016,0.00,4.26
 06 Mar 2016,0.00,6.46
 07 Mar 2016,0.00,7.52
 08 Mar 2016,13.17,5.16
 09 Mar 2016,8.74,6.47
 10 Mar 2016,0.00,4.58
 11 Mar 2016,0.00,5.37
 12 Mar 2016,0.00,5.03
 13 Mar 2016,0.00,6.23
 14 Mar 2016,0.00,6.99
 15 Mar 2016,0.00,8.93
 16 Mar 2016,0.00,4.07
 17 Mar 2016,0.00,4.73
 18 Mar 2016,0.00,5.39
 19 Mar 2016,0.00,4.80
 20 Mar 2016,0.00,4.63
 21 Mar 2016,0.00,4.70
 22 Mar 2016,0.00,6.35
 23 Mar 2016,4.83,6.28
 24 Mar 2016,39.45,5.23
 25 Mar 2016,0.00,4.67
 26 Mar 2016,15.29,5.15
 27 Mar 2016,0.00,6.72
 28 Mar 2016,0.00,4.34
 29 Mar 2016,0.00,7.70
 30 Mar 2016,0.00,8.08
 31 Mar 2016,0.00,4.79
 01 Apr 2016,0.00,3.96
 02 Apr 2016,10.36,6.30
 03 Apr 2016,0.00,4.57
 04 Apr 2016,0.00,5.12
 05 Apr 2016,0.00,5.93
 06 Apr 2016,0.00,6.48
 07 Apr 2016,0.00,3.43
 08 Apr 2016,0.00,5.99
 09 Apr 2016,4.64,15.58
 10 Apr 2016,25.51,9.32
 11 Apr 2016,2.88,11.84
 12 Apr 2016,1.25,8.76
 13 Apr 2016,2.67,13.04
 14 Apr 2016,0.00,9.63
 15 Apr 2016,44.22,10.31
 16 Apr 2016,24.49,8.80
 17 Apr 2016,0.00,9.97
 18 Apr 2016,42.12,10.31
 19 Apr 2016,0.00,12.53
 20 Apr 2016,0.00,8.76
 21 Apr 2016,39.49,9.28
 22 Apr 2016,30.69,9.40
 23 Apr 2016,16.79,15.67
 24 Apr 2016,114.82,11.19
 25 Apr 2016,0.00,7.01
 26 Apr 2016,219.34,7.10
 27 Apr 2016,0.00,7.28
 28 Apr 2016,50.43,10.34
 29 Apr 2016,56.13,5.87
 30 Apr 2016,21.73,9.75
 01 May 2016,0.00,9.57
 02 May 2016,0.00,11.16
 03 May 2016,0.00,8.22
 04 May 2016,0.00,8.59
 05 May 2016,0.00,5.87
 06 May 2016,33.86,8.66
 07 May 2016,0.00,5.93
 08 May 2016,0.00,5.78
 09 May 2016,4.71,8.99
 10 May 2016,61.47,12.49
 11 May 2016,0.00,7.73
 12 May 2016,58.53,10.55
 13 May 2016,7.74,9.92
 14 May 2016,29.09,10.23
 15 May 2016,148.02,16.21
 16 May 2016,198.18,13.09
 17 May 2016,218.43,8.42
 18 May 2016,0.00,16.88
 19 May 2016,0.99,13.33
 20 May 2016,115.51,14.16
 21 May 2016,119.53,11.04
 22 May 2016,0.00,5.44
 23 May 2016,0.00,6.97
 24 May 2016,51.63,8.10
 25 May 2016,78.63,6.05
 26 May 2016,69.58,9.36
 27 May 2016,3.59,4.50
 28 May 2016,13.93,9.08
 29 May 2016,0.00,9.29
 30 May 2016,72.38,6.69
 31 May 2016,16.40,10.05
 01 Jun 2016,0.46,15.10
 02 Jun 2016,90.17,16.94
 03 Jun 2016,156.17,14.55
 04 Jun 2016,83.24,12.56
 05 Jun 2016,358.40,21.31
 06 Jun 2016,577.07,16.51
 07 Jun 2016,485.05,13.63
 08 Jun 2016,160.28,16.05
 09 Jun 2016,108.69,11.99
 10 Jun 2016,425.12,15.15
 11 Jun 2016,425.00,20.37
 12 Jun 2016,63.77,21.92
 13 Jun 2016,340.92,21.91
 14 Jun 2016,427.65,16.67
 15 Jun 2016,0.00,7.50
 16 Jun 2016,0.00,8.46
 17 Jun 2016,0.00,6.72
 18 Jun 2016,0.00,6.79
 19 Jun 2016,0.00,5.60
 20 Jun 2016,454.39,16.71
 21 Jun 2016,728.04,19.32
 22 Jun 2016,498.43,18.08
 23 Jun 2016,319.97,17.86
 24 Jun 2016,424.73,25.06
 25 Jun 2016,160.64,23.53
