 Fecha,CAPE,Agua Precipitable
 26 Jun 2016,97.03,22.78
 27 Jun 2016,32.33,24.61
 28 Jun 2016,65.19,20.79
 30 Jun 2016,201.66,17.85
 01 Jul 2016,370.50,20.72
 02 Jul 2016,0.00,29.59
 03 Jul 2016,264.73,24.22
 04 Jul 2016,331.04,17.07
 05 Jul 2016,281.90,21.40
 06 Jul 2016,179.99,12.34
 07 Jul 2016,138.80,12.28
 08 Jul 2016,717.95,18.81
 09 Jul 2016,422.92,17.50
 10 Jul 2016,487.28,14.09
 11 Jul 2016,412.16,18.47
 12 Jul 2016,48.12,10.50
 13 Jul 2016,66.64,11.49
 14 Jul 2016,163.66,10.85
 15 Jul 2016,158.89,9.96
 16 Jul 2016,276.25,16.75
 17 Jul 2016,131.54,16.59
 18 Jul 2016,104.43,22.30
 19 Jul 2016,301.70,26.12
 20 Jul 2016,654.15,23.65
 21 Jul 2016,773.10,21.95
 22 Jul 2016,716.12,17.33
 23 Jul 2016,110.70,16.07
 24 Jul 2016,636.96,20.30
 25 Jul 2016,235.27,25.57
 26 Jul 2016,131.76,26.42
 27 Jul 2016,449.04,27.05
 28 Jul 2016,797.06,23.98
 29 Jul 2016,525.96,18.32
 30 Jul 2016,288.15,24.28
 31 Jul 2016,789.69,19.16
 01 Aug 2016,781.32,23.97
 02 Aug 2016,463.14,26.30
 03 Aug 2016,804.69,30.62
 04 Aug 2016,547.69,31.09
 05 Aug 2016,1092.79,30.36
 06 Aug 2016,52.95,28.82
 07 Aug 2016,160.36,30.95
 08 Aug 2016,309.19,25.70
 09 Aug 2016,9.59,21.98
 10 Aug 2016,114.64,20.52
 11 Aug 2016,293.46,30.07
 12 Aug 2016,50.66,23.65
 13 Aug 2016,57.01,12.71
 14 Aug 2016,95.27,23.75
 15 Aug 2016,362.19,20.54
 16 Aug 2016,72.93,15.03
 17 Aug 2016,18.48,20.89
 18 Aug 2016,59.89,16.99
 19 Aug 2016,153.81,23.22
 20 Aug 2016,301.84,23.02
 21 Aug 2016,261.38,19.61
 22 Aug 2016,197.16,24.57
 23 Aug 2016,353.16,23.25
 24 Aug 2016,55.79,16.98
 25 Aug 2016,49.73,22.15
 26 Aug 2016,38.22,17.23
 27 Aug 2016,87.51,21.91
 28 Aug 2016,35.52,23.70
 29 Aug 2016,0.94,18.41
 30 Aug 2016,84.86,19.89
 31 Aug 2016,206.12,22.77
 01 Sep 2016,537.67,22.95
 02 Sep 2016,24.26,19.93
 03 Sep 2016,146.13,27.88
 04 Sep 2016,895.03,28.20
 05 Sep 2016,441.78,19.24
 06 Sep 2016,919.95,26.00
 07 Sep 2016,72.59,32.12
 08 Sep 2016,105.34,31.62
 09 Sep 2016,0.00,13.72
 10 Sep 2016,0.00,9.43
 11 Sep 2016,0.00,15.15
 12 Sep 2016,46.65,25.25
 13 Sep 2016,137.67,24.01
 14 Sep 2016,34.03,15.92
 15 Sep 2016,268.00,16.01
 16 Sep 2016,34.07,17.89
 17 Sep 2016,0.00,9.69
 18 Sep 2016,4.42,11.86
 19 Sep 2016,0.00,6.46
 20 Sep 2016,0.00,6.34
 21 Sep 2016,0.00,16.47
 22 Sep 2016,340.78,24.72
 23 Sep 2016,443.83,24.83
 24 Sep 2016,0.00,20.76
 25 Sep 2016,0.00,9.36
 26 Sep 2016,0.00,12.76
 27 Sep 2016,0.00,9.00
 28 Sep 2016,0.00,15.85
 29 Sep 2016,256.98,19.82
 30 Sep 2016,74.44,22.96
 01 Oct 2016,103.47,15.40
 02 Oct 2016,20.06,15.47
 03 Oct 2016,40.05,15.96
 04 Oct 2016,0.00,11.29
 05 Oct 2016,0.00,5.96
 06 Oct 2016,0.00,8.69
 07 Oct 2016,0.00,7.14
 08 Oct 2016,0.00,7.00
 09 Oct 2016,0.00,18.90
 11 Oct 2016,0.00,14.25
 12 Oct 2016,445.27,16.51
 13 Oct 2016,0.00,9.21
 14 Oct 2016,0.00,7.76
 15 Oct 2016,0.00,9.14
 16 Oct 2016,0.00,6.63
 17 Oct 2016,0.00,7.16
 18 Oct 2016,0.00,10.55
 19 Oct 2016,0.00,9.02
 20 Oct 2016,0.00,3.56
 21 Oct 2016,0.00,4.75
 22 Oct 2016,0.00,8.10
 23 Oct 2016,0.00,10.50
 24 Oct 2016,0.00,11.27
 25 Oct 2016,0.00,15.10
 26 Oct 2016,18.66,16.56
 27 Oct 2016,0.00,5.44
 28 Oct 2016,0.00,10.32
 29 Oct 2016,0.00,11.92
 30 Oct 2016,0.00,13.32
 31 Oct 2016,0.00,13.11
 01 Nov 2016,0.00,9.18
 02 Nov 2016,0.00,9.09
 03 Nov 2016,1.94,11.45
 04 Nov 2016,0.00,15.71
 05 Nov 2016,0.00,19.36
 06 Nov 2016,109.68,15.85
 07 Nov 2016,0.00,11.01
 08 Nov 2016,21.06,12.56
 09 Nov 2016,0.00,8.62
 10 Nov 2016,0.00,5.19
 11 Nov 2016,0.00,10.10
 12 Nov 2016,2.89,10.44
 13 Nov 2016,0.00,10.28
 14 Nov 2016,0.00,8.38
 15 Nov 2016,0.00,8.76
 16 Nov 2016,0.00,5.17
 17 Nov 2016,0.00,7.43
 18 Nov 2016,0.00,3.00
 19 Nov 2016,0.00,2.97
 20 Nov 2016,0.00,6.57
 21 Nov 2016,19.27,12.13
 22 Nov 2016,247.21,15.34
 23 Nov 2016,0.00,7.97
 24 Nov 2016,0.00,5.66
 25 Nov 2016,0.00,3.36
 26 Nov 2016,0.00,5.54
 27 Nov 2016,0.00,10.13
 28 Nov 2016,0.00,6.59
 29 Nov 2016,0.00,7.51
 30 Nov 2016,0.00,5.06
 01 Dec 2016,0.00,3.70
 02 Dec 2016,0.00,4.72
 03 Dec 2016,0.00,6.65
 04 Dec 2016,0.00,5.97
 05 Dec 2016,0.00,4.33
 06 Dec 2016,0.00,6.92
 07 Dec 2016,0.00,6.86
 08 Dec 2016,0.00,5.77
 09 Dec 2016,0.00,6.61
 10 Dec 2016,0.00,8.29
 11 Dec 2016,0.00,6.21
 12 Dec 2016,0.00,7.80
 13 Dec 2016,0.00,12.12
 14 Dec 2016,0.00,12.35
 15 Dec 2016,0.00,9.65
 16 Dec 2016,0.00,6.93
 17 Dec 2016,21.05,12.07
 18 Dec 2016,0.00,3.62
 19 Dec 2016,0.00,1.80
 20 Dec 2016,0.00,2.41
 21 Dec 2016,0.00,1.94
 22 Dec 2016,0.00,8.89
 23 Dec 2016,0.00,16.78
 24 Dec 2016,4.47,8.03
 25 Dec 2016,0.00,8.79
 26 Dec 2016,27.87,3.99
 27 Dec 2016,0.00,5.15
 28 Dec 2016,0.00,5.77
 29 Dec 2016,0.00,4.68
 30 Dec 2016,0.00,4.94
 31 Dec 2016,0.00,7.28
